"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
4891,"09X457",4.00,2013.00,"Black",51.00,279.35,29.00,56.86,18.00,35.29,3.00,5.88,1.00,1.96
4892,"09X457",3.00,2013.00,"Hispanic",60.00,282.45,32.00,53.33,13.00,21.66,13.00,21.66,2.00,3.33
4893,"09X457",4.00,2013.00,"Hispanic",66.00,276.21,40.00,60.60,19.00,28.78,6.00,9.09,1.00,1.51
4894,"09X457",3.00,2014.00,"All Students",91.00,289.50,33.00,36.26,36.00,39.56,20.00,21.97,2.00,2.19
4895,"09X457",4.00,2014.00,"All Students",89.00,289.07,38.00,42.69,26.00,29.21,15.00,16.85,10.00,11.23
4896,"09X457",3.00,2014.00,"Asian",1.00,,,,,,,,,
4897,"09X457",4.00,2014.00,"Asian",1.00,,,,,,,,,
4898,"09X457",3.00,2014.00,"Black",27.00,295.62,9.00,33.33,12.00,44.44,4.00,14.81,2.00,7.40
4899,"09X457",4.00,2014.00,"Black",25.00,291.88,10.00,40.00,8.00,32.00,6.00,24.00,1.00,4.00
4900,"09X457",3.00,2014.00,"Hispanic",60.00,286.15,24.00,40.00,21.00,35.00,15.00,25.00,0.00,0.00
4901,"09X457",4.00,2014.00,"Hispanic",63.00,286.57,28.00,44.44,18.00,28.57,9.00,14.28,8.00,12.69
4902,"09X457",3.00,2014.00,"White",2.00,,,,,,,,,
4903,"09X457",3.00,2015.00,"All Students",94.00,285.15,40.00,42.55,33.00,35.10,16.00,17.02,5.00,5.31
4904,"09X457",4.00,2015.00,"All Students",93.00,287.02,32.00,34.40,44.00,47.31,13.00,13.97,4.00,4.30
4905,"09X457",3.00,2015.00,"Asian",1.00,,,,,,,,,
4906,"09X457",4.00,2015.00,"Asian",1.00,,,,,,,,,
4907,"09X457",3.00,2015.00,"Black",37.00,282.62,15.00,40.54,15.00,40.54,6.00,16.21,1.00,2.70
